,10
9,30.0
10,41.0
11,44.0
12,33.0
13,37.0
14,36.0
15,45.0
16,42.0
17,49.0
18,45.0
19,44.0
20,41.0
21,30.0
22,24.0
23,13.0
0,21.0
1,23.0
2,30.0
3,30.0
4,22.0
5,18.0
6,13.0
7,13.0
8,11.0
9,22.0
10,25.0
11,34.0
12,38.0
13,50.0
14,53.0
15,43.0
16,43.0
17,45.0
18,46.0
19,32.0
20,16.0
21,19.0
22,22.0
23,26.0
0,19.0
1,25.0
2,27.0
3,20.0
4,16.0
5,14.0
6,15.0
7,8.0
8,4.0
9,9.0
10,16.0
11,22.0
12,23.0
13,29.0
14,32.0
15,36.0
16,34.0
17,45.0
18,40.0
19,41.0
20,23.0
21,29.0
22,23.0
23,37.0
0,27.0
1,27.0
2,14.0
3,20.0
4,22.0
5,24.0
6,26.0
7,33.0
8,48.0
9,50.0
10,49.0
11,45.0
12,63.0
13,63.0
14,62.0
15,55.0
16,56.0
17,67.0
18,78.0
19,83.0
20,90.0
21,75.0
22,85.0
23,82.0
0,80.0
1,80.0
2,76.0
3,81.0
4,75.0
5,66.0
6,70.0
7,65.0
8,66.0
9,57.0
10,56.0
11,64.0
12,67.0
13,72.0
14,64.0
15,73.0
16,57.0
17,57.0
18,53.0
19,70.0
20,70.0
21,60.0
22,68.0
23,66.0
0,66.0
1,55.0
2,46.0
3,46.0
4,46.0
5,42.0
6,35.0
7,35.0
8,40.0
9,45.0
10,48.0
11,57.0
12,57.0
13,59.0
14,62.0
15,59.0
16,61.0
17,50.0
18,60.0
19,62.0
20,62.0
21,50.0
22,45.0
23,43.0
0,41.0
1,32.0
2,35.0
3,31.0
4,33.0
5,25.0
6,36.0
7,28.0
8,33.0
9,29.0
10,42.0
11,56.0
12,66.0
13,78.0
14,62.0
15,61.0
16,47.0
17,54.0
18,57.0
19,59.0
20,61.0
21,43.0
22,39.0
23,38.0
0,48.0
1,53.0
2,60.0
3,60.0
4,52.0
5,47.0
6,45.0
7,50.0
8,43.0
9,40.0
10,42.0
11,41.0
12,39.0
13,36.0
14,35.0
15,36.0
16,36.0
17,32.0
18,33.0
19,33.0
20,34.0
21,21.0
22,15.0
23,13.0
0,18.0
1,15.0
2,9.0
3,9.0
4,14.0
5,15.0
6,20.0
7,16.0
8,23.0
9,16.0
10,17.0
11,9.0
12,7.0
13,7.0
14,20.0
15,20.0
16,20.0
17,18.0
18,18.0
19,22.0
20,15.0
21,11.0
22,1.0
23,1.0
0,6.0
1,7.0
2,7.0
3,0.0
4,0.0
5,1.0
6,1.0
7,7.0
8,7.0
9,8.0
10,4.0
11,8.0
12,12.0
13,19.0
14,23.0
15,20.0
16,18.0
17,15.0
18,16.0
19,10.0
